iter	Passed	Remaining
0	64	64090
1	115	57716
2	171	56890
3	226	56499
4	288	57344
5	352	58328
6	402	57123
7	454	56355
8	511	56282
9	562	55666
10	620	55828
11	672	55350
12	720	54737
13	774	54523
14	824	54156
15	878	54007
16	932	53918
17	992	54128
18	1046	54007
19	1099	53867
20	1153	53786
21	1204	53535
22	1257	53411
23	1319	53653
24	1370	53462
25	1424	53354
26	1479	53317
27	1529	53108
28	1579	52887
29	1636	52901
30	1688	52788
31	1740	52648
32	1803	52852
33	1917	54483
34	2002	55215
35	2060	55183
36	2110	54932
37	2166	54851
38	2224	54825
39	2281	54752
40	2339	54725
41	2393	54596
42	2449	54521
43	2502	54365
44	2555	54237
45	2609	54124
46	2667	54086
47	2717	53905
48	2767	53716
49	2818	53558
50	2870	53419
51	2927	53364
52	2982	53290
53	3033	53139
54	3083	52984
55	3144	53002
56	3196	52884
57	3246	52733
58	3305	52720
59	3377	52910
60	3459	53248
61	3516	53203
62	3592	53434
63	3646	53329
64	3714	53425
65	3772	53382
66	3834	53395
67	3919	53714
68	3971	53590
69	4032	53569
70	4086	53475
71	4139	53350
72	4195	53283
73	4248	53164
74	4305	53101
75	4361	53028
76	4421	53002
77	4482	52987
78	4537	52897
79	4589	52775
80	4645	52711
81	4699	52614
82	4753	52515
83	4810	52459
84	4860	52325
85	4918	52269
86	4972	52179
87	5025	52087
88	5084	52042
89	5139	51966
90	5193	51877
91	5244	51764
92	5307	51759
93	5358	51647
94	5410	51544
95	5467	51483
96	5523	51419
97	5578	51346
98	5634	51279
99	5689	51206
100	5750	51181
101	5809	51144
102	5863	51061
103	5914	50957
104	5974	50925
105	6054	51061
106	6117	51056
107	6188	51108
108	6265	51215
109	6352	51395
110	6417	51397
111	6491	51467
112	6562	51516
113	6634	51561
114	6695	51526
115	6759	51512
116	6818	51456
117	6879	51422
118	6936	51352
119	6991	51273
120	7051	51227
121	7115	51211
122	7228	51538
123	7347	51905
124	7457	52205
125	7558	52429
126	7664	52688
127	7755	52833
128	7830	52870
129	7894	52831
130	7961	52816
131	8026	52783
132	8079	52669
133	8146	52646
134	8208	52598
135	8263	52500
136	8320	52411
137	8374	52312
138	8432	52232
139	8484	52117
140	8541	52033
141	8598	51952
142	8652	51857
143	8706	51754
